
===== 开始运行 soc-step=22.5 =====
正式评价区间：2025-02-01 至 2025-12-31
正式评价天数：334
未纳入正式评价的预热日期：31天
日末库存价值系数：0.481548 元/kWh
预测安全修正：负荷×1.050，非夏季光伏×0.900，7至9月光伏×1.050
预测时间衰减系数：0.900
分解预测设置：同类型日最少3天，日总量趋势截断0.200，光伏最近7天
滚动偏差校准：回看30天，强度0.500
动态分位数：常规[0.5, 0.6, 0.7, 0.75, 0.8, 0.85, 0.9]，高风险[0.85, 0.9, 0.95]
滚动最优分位数：回看30天，最少历史7天，临时购电惩罚×5.0
2025-06-10完成 | 滚动常规 | q=0.75 | SOC：10807.5->10515.0 | 临时购电：43.8kWh | 总费用：55353.12元
2025-06-11完成 | 滚动常规 | q=0.75 | SOC：10515.0->10537.5 | 临时购电：67.8kWh | 总费用：55463.72元
2025-06-12完成 | 滚动常规 | q=0.75 | SOC：10537.5->10785.0 | 临时购电：34.8kWh | 总费用：56626.72元
2025-06-13完成 | 滚动常规 | q=0.75 | SOC：10785.0->10447.5 | 临时购电：146.9kWh | 总费用：22175.33元
2025-06-14完成 | 滚动常规 | q=0.75 | SOC：10447.5->10762.5 | 临时购电：153.3kWh | 总费用：23269.79元
2025-06-15完成 | 滚动常规 | q=0.75 | SOC：10762.5->10807.5 | 临时购电：10.0kWh | 总费用：59109.20元
2025-06-16完成 | 滚动常规 | q=0.75 | SOC：10807.5->10807.5 | 临时购电：18.6kWh | 总费用：59272.99元
2025-06-17完成 | 滚动常规 | q=0.75 | SOC：10807.5->10807.5 | 临时购电：62.5kWh | 总费用：57900.51元
2025-06-18完成 | 滚动常规 | q=0.75 | SOC：10807.5->10807.5 | 临时购电：14.1kWh | 总费用：58108.04元
2025-06-19完成 | 滚动常规 | q=0.75 | SOC：10807.5->10807.5 | 临时购电：20.8kWh | 总费用：59235.55元
2025-06-20完成 | 滚动常规 | q=0.75 | SOC：10807.5->10807.5 | 临时购电：82.8kWh | 总费用：24401.54元
2025-06-21完成 | 滚动常规 | q=0.75 | SOC：10807.5->10807.5 | 临时购电：106.1kWh | 总费用：24843.69元
2025-06-22完成 | 滚动常规 | q=0.75 | SOC：10807.5->10807.5 | 临时购电：14.0kWh | 总费用：57191.83元
2025-06-23完成 | 滚动常规 | q=0.75 | SOC：10807.5->10807.5 | 临时购电：16.6kWh | 总费用：56097.19元
2025-06-24完成 | 滚动常规 | q=0.75 | SOC：10807.5->10807.5 | 临时购电：78.2kWh | 总费用：55556.29元
2025-06-25完成 | 滚动常规 | q=0.75 | SOC：10807.5->10807.5 | 临时购电：11.1kWh | 总费用：56031.85元
2025-06-26完成 | 滚动常规 | q=0.75 | SOC：10807.5->10807.5 | 临时购电：9.4kWh | 总费用：56858.17元
2025-06-27完成 | 滚动常规 | q=0.75 | SOC：10807.5->10807.5 | 临时购电：94.4kWh | 总费用：23710.31元
2025-06-28完成 | 滚动常规 | q=0.75 | SOC：10807.5->10807.5 | 临时购电：95.5kWh | 总费用：24081.13元
2025-06-29完成 | 滚动常规 | q=0.75 | SOC：10807.5->10807.5 | 临时购电：27.3kWh | 总费用：56691.57元
2025-06-30完成 | 滚动常规 | q=0.75 | SOC：10807.5->10762.5 | 临时购电：11.4kWh | 总费用：56856.04元
2025-07-01完成 | 滚动常规 | q=0.75 | SOC：10762.5->9682.5 | 临时购电：3157.8kWh | 总费用：64411.58元
2025-07-02完成 | 滚动高风险 | q=0.85 | SOC：9682.5->9817.5 | 临时购电：576.5kWh | 总费用：55777.66元
2025-07-03完成 | 滚动高风险 | q=0.85 | SOC：9817.5->9907.5 | 临时购电：2354.1kWh | 总费用：63693.07元
