
===== 开始运行 soc-step=25 =====
正式评价区间：2025-02-01 至 2025-12-31
正式评价天数：334
未纳入正式评价的预热日期：31天
日末库存价值系数：0.481548 元/kWh
预测安全修正：负荷×1.050，非夏季光伏×0.900，7至9月光伏×1.050
预测时间衰减系数：0.900
分解预测设置：同类型日最少3天，日总量趋势截断0.200，光伏最近7天
滚动偏差校准：回看30天，强度0.500
动态分位数：常规[0.5, 0.6, 0.7, 0.75, 0.8, 0.85, 0.9]，高风险[0.85, 0.9, 0.95]
滚动最优分位数：回看30天，最少历史7天，临时购电惩罚×5.0
2025-06-22完成 | 滚动常规 | q=0.75 | SOC：10800.0->10800.0 | 临时购电：24.5kWh | 总费用：57245.11元
2025-06-23完成 | 滚动常规 | q=0.75 | SOC：10800.0->10800.0 | 临时购电：10.7kWh | 总费用：56076.43元
2025-06-24完成 | 滚动常规 | q=0.75 | SOC：10800.0->10800.0 | 临时购电：89.2kWh | 总费用：55597.17元
2025-06-25完成 | 滚动常规 | q=0.75 | SOC：10800.0->10800.0 | 临时购电：18.2kWh | 总费用：56058.10元
2025-06-26完成 | 滚动常规 | q=0.75 | SOC：10800.0->10800.0 | 临时购电：8.0kWh | 总费用：56858.64元
2025-06-27完成 | 滚动常规 | q=0.75 | SOC：10800.0->10800.0 | 临时购电：139.3kWh | 总费用：23800.56元
2025-06-28完成 | 滚动常规 | q=0.75 | SOC：10800.0->10800.0 | 临时购电：90.0kWh | 总费用：24088.07元
2025-06-29完成 | 滚动常规 | q=0.75 | SOC：10800.0->10800.0 | 临时购电：22.9kWh | 总费用：56668.38元
2025-06-30完成 | 滚动常规 | q=0.75 | SOC：10800.0->10775.0 | 临时购电：9.4kWh | 总费用：56853.69元
2025-07-01完成 | 滚动常规 | q=0.75 | SOC：10775.0->9700.0 | 临时购电：3190.5kWh | 总费用：64252.45元
2025-07-02完成 | 滚动高风险 | q=0.85 | SOC：9700.0->9750.0 | 临时购电：563.1kWh | 总费用：55654.77元
2025-07-03完成 | 滚动高风险 | q=0.85 | SOC：9750.0->9925.0 | 临时购电：2348.1kWh | 总费用：63744.77元
2025-07-04完成 | 滚动高风险 | q=0.85 | SOC：9925.0->9625.0 | 临时购电：2427.5kWh | 总费用：33272.56元
2025-07-05完成 | 滚动高风险 | q=0.85 | SOC：9625.0->9725.0 | 临时购电：3000.5kWh | 总费用：37289.92元
2025-07-06完成 | 滚动高风险 | q=0.85 | SOC：9725.0->9850.0 | 临时购电：6294.1kWh | 总费用：77164.23元
2025-07-07完成 | 滚动高风险 | q=0.85 | SOC：9850.0->9775.0 | 临时购电：523.7kWh | 总费用：51857.10元
2025-07-08完成 | 滚动高风险 | q=0.85 | SOC：9775.0->10800.0 | 临时购电：26.4kWh | 总费用：60024.62元
2025-07-09完成 | 滚动高风险 | q=0.85 | SOC：10800.0->10800.0 | 临时购电：4.8kWh | 总费用：61272.34元
2025-07-10完成 | 滚动常规 | q=0.75 | SOC：10800.0->10675.0 | 临时购电：97.6kWh | 总费用：54761.78元
2025-07-11完成 | 滚动常规 | q=0.75 | SOC：10675.0->10800.0 | 临时购电：177.4kWh | 总费用：27226.70元
2025-07-12完成 | 滚动常规 | q=0.75 | SOC：10800.0->10550.0 | 临时购电：67.9kWh | 总费用：26637.79元
2025-07-13完成 | 滚动常规 | q=0.80 | SOC：10550.0->10800.0 | 临时购电：51.3kWh | 总费用：55064.49元
2025-07-14完成 | 滚动常规 | q=0.80 | SOC：10800.0->10800.0 | 临时购电：19.7kWh | 总费用：55471.84元
2025-07-15完成 | 滚动常规 | q=0.80 | SOC：10800.0->10800.0 | 临时购电：11.3kWh | 总费用：56976.20元
2025-07-16完成 | 滚动常规 | q=0.80 | SOC：10800.0->10800.0 | 临时购电：40.0kWh | 总费用：55250.73元
2025-07-17完成 | 滚动常规 | q=0.80 | SOC：10800.0->10800.0 | 临时购电：38.5kWh | 总费用：54558.61元
2025-07-18完成 | 滚动常规 | q=0.80 | SOC：10800.0->10800.0 | 临时购电：115.2kWh | 总费用：28116.46元
2025-07-19完成 | 滚动常规 | q=0.80 | SOC：10800.0->10800.0 | 临时购电：12.8kWh | 总费用：28012.54元
2025-07-20完成 | 滚动常规 | q=0.80 | SOC：10800.0->10800.0 | 临时购电：4.7kWh | 总费用：56529.70元
2025-07-21完成 | 滚动常规 | q=0.80 | SOC：10800.0->10800.0 | 临时购电：24.1kWh | 总费用：55947.56元
2025-07-22完成 | 滚动常规 | q=0.80 | SOC：10800.0->10800.0 | 临时购电：24.0kWh | 总费用：57655.06元
2025-07-23完成 | 滚动常规 | q=0.80 | SOC：10800.0->10800.0 | 临时购电：34.4kWh | 总费用：56718.46元
2025-07-24完成 | 滚动常规 | q=0.80 | SOC：10800.0->10800.0 | 临时购电：112.0kWh | 总费用：56294.89元
2025-07-25完成 | 滚动常规 | q=0.80 | SOC：10800.0->10800.0 | 临时购电：104.7kWh | 总费用：27997.92元
2025-07-26完成 | 滚动常规 | q=0.80 | SOC：10800.0->10800.0 | 临时购电：53.2kWh | 总费用：28318.03元
2025-07-27完成 | 滚动常规 | q=0.80 | SOC：10800.0->10800.0 | 临时购电：426.5kWh | 总费用：58078.69元
2025-07-28完成 | 滚动常规 | q=0.80 | SOC：10800.0->10800.0 | 临时购电：417.4kWh | 总费用：56268.43元
2025-07-29完成 | 滚动常规 | q=0.80 | SOC：10800.0->10800.0 | 临时购电：17.3kWh | 总费用：57442.40元
2025-07-30完成 | 滚动常规 | q=0.80 | SOC：10800.0->10800.0 | 临时购电：21.0kWh | 总费用：55639.30元
2025-07-31完成 | 滚动常规 | q=0.80 | SOC：10800.0->10800.0 | 临时购电：23.9kWh | 总费用：56516.94元
2025-08-01完成 | 滚动常规 | q=0.80 | SOC：10800.0->10800.0 | 临时购电：22.2kWh | 总费用：27367.20元
2025-08-02完成 | 滚动常规 | q=0.80 | SOC：10800.0->10800.0 | 临时购电：4.9kWh | 总费用：27368.10元
2025-08-03完成 | 滚动常规 | q=0.80 | SOC：10800.0->10800.0 | 临时购电：11.5kWh | 总费用：53154.03元
2025-08-04完成 | 滚动常规 | q=0.80 | SOC：10800.0->10800.0 | 临时购电：10.7kWh | 总费用：50548.92元
2025-08-05完成 | 滚动常规 | q=0.75 | SOC：10800.0->10800.0 | 临时购电：23.0kWh | 总费用：49616.63元
2025-08-06完成 | 滚动常规 | q=0.75 | SOC：10800.0->10775.0 | 临时购电：945.6kWh | 总费用：52445.44元
2025-08-07完成 | 滚动常规 | q=0.75 | SOC：10775.0->10800.0 | 临时购电：38.5kWh | 总费用：47969.15元
2025-08-08完成 | 滚动常规 | q=0.75 | SOC：10800.0->10800.0 | 临时购电：41.7kWh | 总费用：26113.65元
2025-08-09完成 | 滚动常规 | q=0.75 | SOC：10800.0->10800.0 | 临时购电：163.0kWh | 总费用：26232.74元
2025-08-10完成 | 滚动常规 | q=0.75 | SOC：10800.0->10800.0 | 临时购电：31.3kWh | 总费用：49829.38元
2025-08-11完成 | 滚动常规 | q=0.75 | SOC：10800.0->10800.0 | 临时购电：35.9kWh | 总费用：50447.23元
2025-08-12完成 | 滚动常规 | q=0.70 | SOC：10800.0->10800.0 | 临时购电：288.5kWh | 总费用：49370.30元
2025-08-13完成 | 滚动常规 | q=0.70 | SOC：10800.0->10800.0 | 临时购电：85.1kWh | 总费用：48183.93元
2025-08-14完成 | 滚动常规 | q=0.70 | SOC：10800.0->10800.0 | 临时购电：59.8kWh | 总费用：49858.28元
